,coe,res,pvalue
marital1,0.029354123,-2.63E-16,0.412637786
maugaprsident of spain,-0.13873372,-0.111736674,0.413352939
ethnic1just American,0.180732771,-0.190569916,0.413567178
pk_germgg,NA,0.159786664,0.413567178
callout2,-0.014151767,-0.181631498,0.413618485
ethnic1Colombian,0.204421272,0.159786664,0.413634307
pk_germchancillor of germany,NA,9.06E-17,0.413634307
ethnic1Caucasian,0.00657584,3.30E-16,0.413830584
pk_germchancellor west germany,-0.421487834,-2.79E-16,0.413830584
pk_cjusdo not recall,-0.268845794,3.34E-17,0.413954476
ethnic1Slavic American,NA,-3.56E-16,0.414246842
pk_germmerkel policy,NA,-1.61E-16,0.414246842
maugapolitical position,-0.89792436,2.12E-16,0.414597488
jbdiv,-0.018963187,0.089665132,0.414829371
pk_cjusorangr,NA,2.81E-17,0.414829371
maugaimmigration,1.652362891,-4.19E-17,0.415212421
maugalieutenant governor of american samo,-0.963982401,-3.76E-17,0.415344339
mauga1901,-0.548637931,3.26E-16,0.416310929
pk_cjus7868,NA,-0.031676393,0.416375718
maugaambassador to tonga,-0.008538936,-0.052394796,0.416866965
ethnic1Hdhdhjf,1.261561236,8.36E-16,0.417138243
pk_germex head of uk,-0.840642093,0.023940158,0.417138243
race1a_2,-1.733946409,-4.62E-16,0.418306896
ethnic20,1.00842666,-0.374824418,0.418795049
pk_germpremier ? of germany,-0.516608828,-2.65E-16,0.418795049
pid1r,0.237692143,-4.21E-16,0.418827857
pk_cjussuprem court justice,-0.384763729,-8.15E-17,0.418827857
maugawerwe,NA,-9.19E-17,0.419107029
ethnic2Slovenian American,-0.110032502,-0.023834497,0.419578538
maugagovenor,0.287993641,6.50E-17,0.420740137
exphomesch,0.088585334,-4.62E-16,0.422132241
impact6,-0.029801261,-6.69E-16,0.42317136
pk_germ888,NA,0.041836588,0.42317136
maugalieuitenit of american samoa,-0.170046824,4.27E-16,0.423770712
pk_cjusdon't know who that is,NA,-0.105630847,0.424734438
ethnic2Honduras,-0.088450665,-9.74E-17,0.424747895
hisp_2,0.028343398,-1.14E-16,0.424747895
mauga2002,1.05698834,3.46E-16,0.424782464
"ethnic2Mexican, Portuguese, black",-1.907251225,8.88E-17,0.424793365
namer,-1.138482491,-2.71E-17,0.424793365
ethnic1N/A,-0.789462034,0.318315375,0.425138122
pk_germhigh,NA,3.13E-16,0.425138122
pk_cjusfhi,NA,0.22958421,0.425562214
ethnic2black american,0.677046959,-0.030992658,0.426577123
pk_germscientist,0.910955219,0.216764137,0.426577123
pk_cjuschief justice supreme court us,0.29008847,-0.28354413,0.427188838
ethnic2White american,-0.362899552,-1.51E-17,0.427202162
impact5,-0.023683172,-4.08E-17,0.427535877
pk_germ689097t6,NA,-2.41E-16,0.427535877
pk_cjuschief justice of supremem court,NA,6.82E-16,0.427992894
ethnic1Czechoslovalian,0.468095259,-0.065894202,0.428719678
pk_germchansellor of germany,0.928989594,-2.63E-16,0.428719678
maugadepartment of agriculture,NA,-6.92E-17,0.428825108
maugaforeign affairs,-0.29042109,-2.02E-16,0.428906913
ethnic2Caucasion,0.811722851,-0.055523601,0.4289749
pk_germsomething in germany,0.05990404,-9.87E-17,0.4289749
ethnic2African American,0.821745023,0.079801354,0.430258055
pk_germpresident of johnson & johnson,NA,-0.070417348,0.430258055
impact3,-0.025166088,8.04E-17,0.430393938
pk_germ5,NA,-0.10793286,0.430393938
maugaforeign minister,-0.803708836,0.082184165,0.43066885
maugavice dictator,0.308738504,3.04E-16,0.431467423
ethnic2caucasian,-0.338161678,1.55E-16,0.431573072
pk_germservant,NA,2.15E-17,0.431573072
maugalt. govenor,NA,5.89E-17,0.431903043
maugacio,NA,-1.96E-17,0.432436064
femid2_nei,0.047899958,0.109458769,0.432988453
maugahealth,-1.514866574,-1.69E-16,0.433072471
ethnic1Scotch-Irish,1.26388159,5.31E-16,0.433355781
pk_germlikely,NA,-2.90E-16,0.433355781
maugano freaken idea,NA,-1.12E-16,0.433795541
ethnic1French Canadian Ukranian Jew,NA,3.75E-16,0.433854316
pk_germdon't know,-0.069636609,0.052440505,0.433854316
pk_cjusadvisor,NA,5.55E-17,0.434291154
ethnic1v b     bn gcg cgcv cgv ccbftfyjhnb ym7tr6syghvv b,1.918640307,-2.00E-16,0.434365715
pk_germnot,NA,-2.04E-16,0.434365715
pk_cjusdnk,NA,0.243171765,0.43467106
ethnic2Irish scottish american,0.537700408,1.33E-16,0.434973487
XFORGIVE,-0.013088081,5.38E-16,0.434973487
pk_cjusi like,NA,-2.01E-17,0.435254256
"ethnic2English, Scottish, French",-0.530943257,4.11E-16,0.435407182
pk_germty,NA,-2.70E-17,0.435407182
maugaunemployed,0.426224546,-0.043151835,0.435656204
maugahead of italy,NA,-5.65E-17,0.436647423
pk_cjuschief justice on supreme court,-0.968322605,-2.43E-17,0.436702371
maugasamoa americana c谩mara de representantes,NA,9.52E-17,0.436812669
maugalt governer,0.586333073,-0.006468348,0.436839986
maugaim not sure,-0.351043331,1.11E-15,0.437237572
"ethnic1European white male, but I feel like I am just an American",0.463993713,-0.107435638,0.43752081
pk_germdfgdgf,NA,-3.30E-19,0.43752081
impact4,-0.023629317,6.81E-16,0.437612647
pk_germ50,NA,6.97E-17,0.437612647
ethnic1Hispanic Mexican American,-1.840947045,4.38E-17,0.438236739
pk_germfdgdfgdfg,NA,0.298955508,0.438236739
nervous,-0.026062631,0.153315984,0.438259588
pk_cjusjustice on supreme court,NA,1.32E-16,0.438259588
groupid1b_hpi,NA,0.085133955,0.438584646
mauganurse,0.887165049,2.36E-16,0.440093954
relig1_11_TEXTChristan,-0.895793662,-2.63E-16,0.44010689
pk_cjusthe seventeenth and current us supreme c,NA,-0.158723796,0.44010689
pk_cjuschief justice of the us supreme court,-0.074710209,0.03599535,0.441284147
pk_cjus1324,NA,-0.111599104,0.442339499
ethnic1nn,-3.239324297,-4.77E-16,0.442835434
pk_germi don__ knoe,2.413483039,4.12E-16,0.442835434
ethnic1Italian German,0.385641792,-2.65E-16,0.4432152
pk_germgermany leader,-0.774302908,6.66E-17,0.4432152
mauga1,3.671541173,-0.000408813,0.44366123
moralcert1,-0.004216472,-2.73E-16,0.443872303
maugathe french president,NA,-3.39E-17,0.444199953
pk_cjushouse of representatives,0.797594062,2.05E-16,0.444216441
pk_cjuschief justice of united states,1.21208257,3.94E-16,0.444517454
ethnic1American indian,0.69520611,6.20E-16,0.444969818
pk_germcancelore,NA,-2.61E-15,0.444969818
ethnic2European American,1.864277555,-0.022300147,0.445228298
pk_germuncertain,NA,0.086559551,0.445228298
pk_cjusdeputy,NA,5.43E-17,0.446243712
harass,0.029292931,-0.032901245,0.446560033
pk_cjussenate committee chairman,NA,-0.094590773,0.446560033
ethnic2anglo saxon,0.863575009,-2.71E-17,0.446673517
pk_germpriminister of germany,1.045276548,-0.01991969,0.446673517
maugatreasury,0.596741197,5.49E-17,0.447063486
maugasenat,NA,0.253372186,0.447109719
maugasecretary of theninterior,NA,-0.083410542,0.448553144
maugajh,-4.019485933,1.16E-16,0.448722925
pk_cjusconstruction,NA,-2.74E-17,0.449643255
ethnic2Italian/Irish,-0.288703809,-0.055497928,0.449713895
pk_cjus_correct,NA,3.02E-16,0.449713895
ethnic1gfhf,0.104933222,0.073634913,0.45011815
pk_germduchess,NA,3.06E-16,0.45011815
maugachief of staff,NA,0.130732982,0.450257176
finworry,0.019696423,-1.63E-18,0.450298319
pk_cjuspop,NA,-7.84E-17,0.450298319
mauganone,-0.020523691,-0.356676016,0.451338913
maugagovernor of america samoa,-0.067311064,-3.29E-16,0.45154525
govsize1a,-0.066460509,2.85E-16,0.451613017
pk_cjusprim minister,NA,2.59E-17,0.451613017
ethnic2Hispanic American,-0.5734504,1.58E-16,0.45196785
blacks_3,0.065190014,4.83E-16,0.45196785
ethnic2Sicilian,-0.885549629,8.40E-17,0.453832025
maugajudge,-0.403599403,5.51E-16,0.454767274
pk_cjusfinancial,NA,-1.77E-16,0.454871885
pidstr2,-0.042976032,0.129849014,0.455019833
pk_cjussupreme court - chief justice maybe?,NA,-1.19E-16,0.455019833
pcorrect,0.033858498,0.143770475,0.455474319
pk_cjusspeaker of the house,0.889856744,0.038228455,0.455474319
relig1_11_TEXTRegular christian,0.534040188,-0.045642132,0.455731525
pk_germ in 1994 she was appointed minister of t,NA,0.049660943,0.455731525
freemkt2,-0.005430059,-3.34E-16,0.455752952
pk_cjuspress secutary,NA,4.62E-17,0.455752952
ethnic1Japanese American,-1.947755419,-0.070417348,0.456771145
pk_germgermany__ prime ministers,NA,0.10931467,0.456771145
maugapostal worker,0.571729551,4.45E-16,0.458108822
knowtran2_6,-0.18257443,0.011231063,0.459337178
pk_cjusdont k ow,-0.859791063,6.14E-17,0.459407484
ethnic1 Christianity,NA,3.32E-16,0.45961412
pk_germaaaaaaaaaaaaaaaa,-0.344114642,9.97E-17,0.45961412
"ethnic2Mixed race: Chinese, Mexican, white American",1.734969144,-3.72E-16,0.460163894
maugapresident of republic of congo,NA,4.81E-16,0.460715215
maugaindian priest,-0.190821995,1.32E-16,0.460873186
maugalt governors,-0.30745089,2.48E-16,0.461022201
science,-0.019624248,-5.45E-16,0.461132176
pk_cjussenitor,-0.144653695,1.81E-17,0.461132176
pk_cjus chief justice in september 2005,NA,-5.39E-16,0.461415871
ethnic2persian,0.025250487,0.08611046,0.461755927
relig1_11_TEXTLordism,1.387389139,3.00E-16,0.462019556
pk_cjuswhite house aide,NA,0.007267016,0.462019556
pk_cjuschief justice of the u.s.,-0.307253997,-8.10E-17,0.463263272
pk_cjusgov,-0.396537061,-1.70E-17,0.463444209
groupid2a_hpi,-5.229674863,-0.177178914,0.463677193
maugalt gov of america samoa,0.067295404,0.061268755,0.464461185
race1b_1,0.785194859,-0.040819287,0.464689313
maugacontroller,1.001591571,-1.51E-16,0.464726777
relig1_11_TEXTSpiritual,-0.800220286,7.00E-16,0.465889595
pk_germ???????,NA,0.094178901,0.465889595
pk_cjusidk,0.296622893,-0.127080115,0.466025106
maugaleader,-0.734692347,6.02E-16,0.466235901
relig1_11_TEXTbaptist,-0.591934807,-0.2245958,0.466322898
pk_cjussupreme court justive,-1.076998431,6.30E-16,0.466322898
maugacommunist,0.116580361,0.063655205,0.467035116
relig1_11_TEXTOrdained agnostic chaplain,-0.880430054,-3.30E-19,0.467096044
pk_germ chancellor of germany,1.691184648,5.68E-17,0.467096044
maugau,7.152977031,-1.22E-16,0.468589672
mauga lieutenant governor of american samoa.,0.329014412,6.21E-17,0.468626618
maugai do not know,0.580407983,-5.82E-17,0.468930557
knowtran2_4,-0.050405664,-4.20E-17,0.469179726
ftthomas1,-9.52E-05,2.04E-16,0.469438817
pk_cjusn/a,1.227406892,0.075621915,0.469438817
maugalieutenant governor of samoa,0.195448358,3.46E-16,0.46979138
maugaitalian chef,4.119047269,1.93E-16,0.469923419
ethnic1Welsh,0.183734049,2.69E-16,0.471588762
pk_germoo,NA,-0.419299656,0.471588762
relig1_11_TEXTBORN AGAIN CHRISTIAN,-0.675558231,0.177815709,0.472188326
pk_cjussuprime court,NA,-0.086413281,0.472188326
ethnic1Oregonian,-1.113090253,-0.026085182,0.473018181
pk_germisn__ that the girl from mr robot,NA,-0.074190585,0.473018181
maugalieutinent govenor samoa,-0.598464076,-1.05E-16,0.47320904
maugasecretary,0.391859412,-3.49E-16,0.473237867
relig1_11_TEXTapostolic Christian,-0.771211355,-0.011231063,0.473488834
pk_cjussupreme court justice head,NA,-3.54E-16,0.473488834
ethnic2positive,-1.053089818,3.58E-16,0.473708605
ethnic2WHITE AMERICAN,0.792918434,3.37E-16,0.474637919
maugagov. of hawaii,NA,0.103829365,0.474709441
relig1_11_TEXTVampire,-0.545048299,-0.379048845,0.474791327
pk_germ1900,NA,3.33E-16,0.474791327
maugafsdfs,NA,8.24E-16,0.474939692
pk_cjusdot know,-0.063177432,3.91E-16,0.475083743
ethnic1Irish American,0.075012682,-1.72E-15,0.475326433
pk_germgerman government head,NA,-5.10E-16,0.475326433
maugainsurance agent,0.511088057,-7.04E-17,0.475825431
selfmon1,-0.023688577,-1.29E-16,0.476609075
marital2,0.030846586,1.41E-16,0.476766018
ethnic2hispanic,0.332237828,3.45E-17,0.476959127
blacks_1,-0.020701461,0.089663187,0.476959127
pk_cjushouse of reps,NA,0.061236903,0.477019127
"ethnic1Italian, Hispanic",0.028154109,3.08E-17,0.477182779
pk_germgermany president,0.305743458,9.52E-16,0.477182779
maugapriest,0.471752757,0.023592238,0.477415985
pk_cjusgovernment,NA,-2.71E-16,0.477491916
mauga1999,-0.217860188,-0.009868005,0.478121687
pk_cjuschief justice of supteme court,-0.49184231,-2.55E-16,0.478982438
mauganever heard of him,-0.055250182,4.21E-16,0.479475741
viol3_dems,-0.034862499,-3.78E-16,0.479535845
pk_cjuscommissioner,NA,-0.223594166,0.479603632
pk_cjusgfdfggf,NA,-0.001226377,0.479670582
selfmon4,-0.023219731,1.67E-16,0.480046174
ethnic1Salvadore帽a.,2.09641534,-0.045284961,0.480510325
pk_germleads germany,1.420584356,-7.08E-17,0.480510325
ethnic1irish and scottish.,NA,0.036112752,0.480931386
pk_germgerman leader and eu lackey,NA,-3.53E-16,0.480931386
pk_cjuscobgress,0.115715187,-0.231165143,0.48113282
pk_cjus1976,NA,6.21E-17,0.481160697
maugacfo,-0.845122199,0.185056113,0.481472727
ethnic1n/a,1.096465438,-1.77E-17,0.481516292
pk_germhhhghgfgh,NA,1.16E-16,0.481516292
relig1_11_TEXTJesus follower,-0.625706146,-1.84E-16,0.481764379
pk_cjusvery good,NA,1.21E-16,0.481764379
relig1_11_TEXTMystic,-0.653124306,1.71E-16,0.482324079
pk_cjuswho cares,-0.075118917,8.41E-17,0.482324079
pk_cjusannouncer,-0.160620702,1.15E-16,0.482659372
relig1_11_TEXTmethodist,-0.681122357,-1.21E-16,0.483067069
pk_cjuswhite house reporter,0.932542042,0.009497302,0.483067069
maugapresident of nigeria,0.404332213,1.22E-16,0.484551111
viol1,0.027606615,0.023417003,0.484802901
exptravel_ever,0.015046258,-0.162872015,0.485174618
relig1_11_TEXTJW,-0.490489403,0.03788363,0.485481506
pk_cjuswhite house,0.992072253,2.08E-16,0.485481506
ethnic2Central Ameican,-0.218779407,-0.002135986,0.486157
pk_germsomething overseas,0.057615074,-0.210465638,0.486157
groupid1a_asi,-0.199499619,0.035797269,0.486634347
maugabbcbc,0.373464737,-0.100462102,0.48694529
jbhonest,0.027940817,-4.06E-16,0.487549701
pk_cjusold,NA,-1.85E-18,0.487549701
relig1_11_TEXTRastafari,0.802831967,5.21E-16,0.487673236
pk_germ hancellor,0.849839785,-0.11202533,0.487673236
pk_cjuschief justiceof the usa,-0.339508997,2.52E-16,0.487802312
maugacourt,-0.019967528,0.086049998,0.489064479
ethnic1english,-0.486212698,-3.23E-17,0.489271702
pk_germcongress,-0.171974584,-6.85E-17,0.489271702
pk_cjusdk,NA,0.146394876,0.489623604
maugaskis,NA,-0.025854342,0.48978761
ethnic1african,0.303716905,-4.62E-16,0.490261204
pk_germassistant president,NA,-0.206638799,0.490261204
maugaeverything,0.875833031,-9.75E-17,0.490381818
ethnic2?,0.421756702,0.019418343,0.490532596
pk_germpreident,NA,4.31E-16,0.490532596
ethnic1Austrian,0.272469123,-0.019654001,0.491124912
pk_germchanceler,NA,-0.022231023,0.491124912
pk_cjuscall richmond,-1.417921801,1.35E-16,0.491182414
ethnic1Indigenous,-2.722789713,0.093047478,0.491354244
pk_germgerman concler,-0.230895565,0.074380331,0.491354244
ethnic1Korean,-0.584097756,-1.64E-16,0.492030617
pk_germgiger,-3.781774998,0.006686933,0.492030617
ethnic2great,0.847642268,-3.59E-16,0.492315284
whites_2,-0.005171903,5.41E-17,0.492315284
ethnic1NONE,-0.023415441,1.42E-16,0.49272984
pk_germi never heard of her,NA,-2.35E-16,0.49272984
"ethnic1Irish,German",0.697261038,1.41E-16,0.4935906
pk_germgerman president or chancellor,-0.402300953,-6.09E-16,0.4935906
maugalieutenant goverment of american samoa,NA,-0.160951466,0.493827144
maugaeletion office,0.135345224,-8.95E-17,0.494271415
maugalieutenant gov,-1.395066171,0.36175815,0.494304306
impact2,0.016993051,6.08E-16,0.494386985
pk_germ4036,NA,-7.77E-16,0.494386985
econnow,0.018812999,1.45E-16,0.494592573
pk_cjuspolo e,NA,0.382557777,0.494592573
mauga lieutenant governor of american samoa since 2013,-1.889139867,-0.059224547,0.494707886
maugasecretary of agriculture,0.157138913,0.28906665,0.495402931
ethnic2American Indian/white,-1.14534865,-7.92E-16,0.495499894
pk_germprime minister of getmany,NA,-0.059136319,0.495499894
mauganot,NA,-2.57E-17,0.49596939
maugafui,0.375265423,1.95E-16,0.4960188
ethnic1Hungarian,0.050535724,-2.56E-17,0.496216553
pk_germforeign affairs,NA,6.08E-16,0.496216553
state,0.001127226,0.182151466,0.496978928
reg1,-0.035305509,0.011631764,0.497395738
pk_cjusjudge,-0.135422787,2.64E-16,0.497395738
ethnic1Asian,-1.062628385,5.32E-17,0.497867381
pk_germchairman,-1.153333857,-0.14320217,0.497867381
ethnic1welch,-0.180871549,0.472232903,0.497882068
pk_germokiu,NA,0.24989607,0.497882068
maugaa samoan,-0.458736625,0.038228455,0.498594907
maugacongressman,0.208860213,-4.17E-17,0.498731839
ethnic1italian indian,0.513497143,-9.55E-18,0.499031478
pk_germgermany pm,-0.10453563,-0.031227805,0.499031478
moralcert5,-0.03084241,1.50E-16,0.499274154
ethnic1Nothing else,0.21093635,0.247231419,0.499443694
pk_germinformation technology,NA,0.129849014,0.499443694
ethnic2Citizen of the World,NA,-1.42E-16,0.499920318
pk_germsss,NA,-1.15E-15,0.499920318
maugaamerican samoan politician,-0.145385658,-1.81E-16,0.500129241
ethnic2european,0.076740311,-0.22289518,0.500839172
pk_germuk chancellor,NA,-3.56E-16,0.500839172
groupid2a_lat,-0.127129391,-1.48E-16,0.501208272
ethnic2Puerto Rican,0.561694627,0.111911117,0.501627208
pk_cjusdobt know,NA,1.42E-16,0.501899762
mauga1998,-0.295663087,-6.98E-17,0.503477078
pk_cjus1999,NA,-0.212499805,0.503685906
relig1_11_TEXTSpiritual of Yahuah,-2.052936742,2.41E-16,0.503942189
pk_germ0,NA,1.45E-16,0.503942189
link_nat,0.710690942,0.225006507,0.503983513
pk_cjuscheif justice of the supreme court,0.012802571,0.366756137,0.504803929
rr3,0.023961182,-0.093177482,0.505685344
pk_cjussupreme court chief,0.16687081,2.93E-16,0.505685344
ethnic1Sont know,0.538178232,-9.09E-17,0.506640749
pk_germminister of family afairs,2.945366246,2.24E-16,0.506640749
maugapresident0,-0.638832803,1.07E-17,0.506874649
ethnic2Vietnamese,1.372072194,-0.275428901,0.507244145
pk_cjusgovenor,NA,1.69E-16,0.507366856
ethnic2I am from the human race and it is those lables that divide humanity,NA,-5.53E-18,0.508119814
hisp_7,-0.001220403,-0.052873317,0.508119814
pk_cjushe sounds like a governor,NA,-3.73E-16,0.508748015
ethnic2U.S,1.422129046,4.34E-16,0.509219659
ethnic1norwegian,-0.080183818,2.94E-16,0.509225128
pk_germi__ not sure,NA,-0.107435638,0.509225128
ethnic1Irish and German,0.141849839,0.24989607,0.509266126
pk_germgerman leader,0.020096674,-1.87E-16,0.509266126
relig1_11_TEXTgeneric christian,-0.650951403,-6.85E-17,0.509593718
pk_cjusuncertain,0.559844833,0.316107815,0.509593718
maugahouse of representatives,0.811020681,-8.88E-17,0.50970624
relig1_11_TEXTChristain,0.462880387,-0.06547889,0.510652845
pk_cjusthe other dude,NA,6.44E-16,0.510652845
exppubasst,-0.128575559,-9.10E-17,0.510790955
maugapolitical,-1.243954662,-0.204779269,0.510810334
mis_covid1,0.035443446,-0.061413308,0.510897809
pk_cjussuperior judge,NA,-1.38E-16,0.510897809
pk_cjusdont kown,NA,-3.62E-17,0.51103728
pk_cjus1799,NA,1.04E-15,0.512423122
maugajxjdjsh,-1.217167107,-0.15014143,0.512470585
relig1_11_TEXTcathelic,-0.854711563,0.100728271,0.512817012
pk_cjusteacher,NA,0.016046076,0.512817012
selfmon2,0.013412319,0.006622391,0.512873343
ethnic23rd generation american,-0.317517593,-0.320808686,0.513038405
pk_germpremier of germany,0.21283048,6.72E-18,0.513038405
moralsup1,-0.036039105,-8.35E-18,0.513659011
forgive1b,0.01661176,-1.15E-16,0.513788461
maugalieutenant governor of american,NA,-4.56E-18,0.514247433
"ethnic1German, but not really",0.085470689,-0.171969321,0.514808749
pk_germdont know,-0.064041304,0.073782613,0.514808749
pk_cjusgoverment,NA,3.25E-18,0.514811145
pk_cjus2009,NA,9.72E-17,0.515022922
duepro1,-0.015882297,-1.38E-16,0.515083464
maugaanimal control officer,NA,-0.076155341,0.515171831
ftillegal,-0.000324335,-1.01E-16,0.515288744
pk_cjusnd,NA,-3.10E-17,0.515288744
maugahuh,-0.188225344,-1.38E-16,0.515749862
antirelig1,-0.077223531,-0.10793286,0.516654945
pk_cjusroberts is sworn in as chief justice,NA,6.56E-17,0.516654945
ftblack,-0.00072015,-0.040266089,0.516697996
pk_cjusnana,NA,4.01E-16,0.516697996
primaryvote,0.023254713,-2.98E-16,0.517002552
pk_cjusno isea,NA,-3.40E-16,0.517002552
ethnic2irish,0.474460979,0.007009261,0.518698153
survexp2,-0.000357264,-2.76E-16,0.518698153
ethnic2american white,0.441597643,-2.06E-16,0.519353914
pk_germprime minster of germany,0.207864541,2.58E-16,0.519353914
ethnic2Native American/French,NA,-6.87E-16,0.520112201
compro2,0.020174956,-4.06E-16,0.520287918
pk_cjussomething important,NA,-2.55E-16,0.520287918
childrear4,-0.036337592,3.36E-16,0.520642131
pk_cjusstate something,NA,-3.16E-17,0.520642131
maugai dont not,NA,-0.160459214,0.520862566
maugadon't know who that is,0.989709637,-3.34E-16,0.521252154
maugaprime minister of slovakia,NA,-3.19E-17,0.521733653
ftsocialists,-0.000265253,1.21E-16,0.522362666
pk_cjusno clue,-0.212203033,1.50E-16,0.522362666
maugaforeign delegate,-0.858475654,-2.92E-17,0.522597594
maugagovernor of american samoa,0.265837565,2.19E-16,0.522995388
pk_cjusindepedent,-0.141131748,2.38E-18,0.523256392
ethnic2fathfhkkhlk,0.54806922,-3.98E-16,0.523391253
pk_germunkbown,0.683557691,-9.09E-17,0.523391253
pk_cjuschief surpreme court justice,0.918611172,0.242569894,0.523678028
pk_cjusdonal trump,NA,0.094519846,0.523693245
maugaforeign ambassador,NA,0.212481711,0.5239806
maugaleutenent governor of american samoa,-0.239810267,-1.58E-16,0.523998844
maugaambassador to brazil,0.171891623,1.33E-17,0.524293196
socmed_2,-0.776138039,0.072018891,0.524701481
pk_germ20,NA,1.97E-16,0.524701481
"ethnic2German, irish",0.469505931,-3.84E-16,0.525614044
pk_germxbcxcb,NA,4.96E-16,0.525614044
maugademocracy,-0.142404208,-0.104528909,0.525674615
stress4,0.006597363,-0.116535285,0.527092373
ethnic1Caucasian American,2.032234293,1.48E-16,0.527843586
"pk_germchancellor, germany",NA,-8.64E-16,0.527843586
maugahouse advisor,-0.839091737,-2.12E-16,0.528320534
relig1_11_TEXTNa,0.555255149,2.21E-16,0.528498414
pk_cjuswho?,NA,0.039211284,0.528498414
"ethnic2American Indian , Caucasion",-0.226420243,-2.04E-16,0.528514643
pk_germprime minister of germany i think,NA,-1.07E-16,0.528514643
mauga5,0.487021727,0.008849991,0.528607577
depress5,-0.005861749,-0.034607829,0.528608007
ethnic1maxican,1.183626795,-0.093196449,0.528736445
pk_germgrear,NA,-0.414111481,0.528736445
relig1_11_TEXTNon denominational Christian,-0.39265545,-5.10E-17,0.528743625
pk_cjusyou can have a,NA,2.45E-16,0.528743625
ethnic1I am an American and yes my family four to five generations ago immigrated,-0.554140753,1.85E-16,0.528959532
pk_germfry cook,0.599798657,3.32E-16,0.528959532
maugavery good,0.908858333,-1.01E-16,0.529676974
ethnic2Cherokee,-2.842130715,-1.92E-16,0.530232812
pk_germsonething in europe??,-0.550189139,-5.07E-16,0.530232812
maugabien,0.354568529,-1.17E-15,0.530259674
maugatrump administration,0.838929023,-1.86E-16,0.530449675
link_hpi,NA,-8.09E-16,0.530751933
maugaun general assembly head janitor,-0.0789514,4.23E-16,0.530754295
ethnic1Sicilian,1.609659014,0.037406184,0.530920245
pk_germmegan__ mom,-0.851740513,0.049282942,0.530920245
ethnic1Israel,NA,-0.042823112,0.531686249
pk_germgermany,-0.009415961,-0.105554846,0.531686249
ethnic1africian American,0.196069394,-1.19E-16,0.532931378
pk_germbuffy,NA,-0.433423307,0.532931378
ethnic2Dutch,0.021041443,-0.07464204,0.533014661
pk_germthe current government of germany.,NA,-0.007142872,0.533014661
ethnic2Puerta Rican,0.023888522,-0.085888692,0.533217053
ethnic1Jdjdjd,0.955304346,-5.95E-16,0.533423376
pk_germgermean,NA,0.11962965,0.533423376
"ethnic2my ethnicity is white , they'er the best for me",-0.077798064,-9.29E-17,0.533596367
ethnic1German-Irish,0.468517194,3.67E-16,0.533653646
pk_germdont kniw,NA,2.05E-16,0.533653646
maugalieutenant governor of american samoa since 2013,0.005415033,4.55E-16,0.534102359
maugapro,-7.118005725,2.55E-16,0.534126468
socmed_3,-0.041699429,0.023940158,0.534518078
pk_germ2000,-1.400671865,-4.78E-16,0.534518078
maugalt governor of samoa,-0.25377581,1.69E-17,0.534668316
maugagovernor of american,-0.355708659,2.96E-16,0.535355461
ethnic1JEWISH,-1.21800647,-4.36E-16,0.535828986
pk_germgerrman president,NA,-0.112213262,0.535828986
childrear3,0.031106562,4.43E-17,0.536179959
pk_cjusstate senate,NA,2.28E-16,0.536179959
twitter1,-0.012102452,0.157651313,0.536218533
pk_germ3,NA,1.95E-16,0.536218533
maugama,-0.377677554,5.65E-16,0.536369702
ethnic1Very much,0.037022341,2.79E-16,0.537501911
pk_germnothing,0.41639484,8.24E-18,0.537501911
ethnic2American  (White),0.699850385,1.72E-16,0.537514402
pk_germprime minister birian,0.595734166,4.26E-16,0.537514402
dtleader2,0.030629231,2.45E-16,0.537981349
pk_cjusnot sutre,NA,2.57E-17,0.537981349
pk_cjuschef,-0.714042691,0.074926203,0.538182216
maugagovernor of a african country,NA,-0.018562941,0.538534586
relig1_11_TEXTCHRISTAIN,0.721043424,-0.015214872,0.538577618
pk_cjusthe president of the united states supre,NA,-4.03E-16,0.538577618
ethnic2Haitian,0.574715053,-0.056157285,0.539663266
whites_4,-0.035729438,0.014730039,0.539663266
ethnic2uk,-0.963556051,-4.96E-16,0.53966468
relig1_11_TEXTSDA,-0.815279912,0.117758931,0.540092033
"pk_germ politician, scientist",0.018250675,0.089665132,0.540092033
pk_cjuscabinet personnel,NA,-0.1560431,0.540501436
maugai dont  know,NA,-0.100511003,0.540528088
relig1_11_TEXTSpirit,-0.586651955,0.318927033,0.540998932
pk_germ?,-1.186921978,-4.68E-17,0.540998932
tol_teach,0.010364478,-7.77E-16,0.541234454
pk_cjusroberts (left) watches as president geor,-1.571079975,-8.03E-17,0.541234454
maugacircuit court judge,0.349684017,-0.021993516,0.541243791
ftpence1,0.000194994,-0.144427263,0.541293413
pk_cjusmdnsnd,NA,0.027603524,0.541293413
pk_cjuschairman,-0.316034815,1.55E-16,0.543179674
ethnic2Hungarian,-0.997380815,1.24E-16,0.543698994
hisp_5,0.024803158,1.45E-16,0.543698994
pk_cjus2005,2.3981041,-0.020138619,0.545222912
maugaprince of persia,0.275468688,8.23E-17,0.545266186
maugaspain independent leader,NA,-0.143846398,0.545508178
ethnic1great,0.817638451,-0.12243237,0.547181664
pk_germeuropean leader,NA,-2.00E-16,0.547181664
maugavdsv,-0.20888087,1.38E-17,0.547370765
pk_cjusatty general,NA,2.12E-16,0.547659882
ethnic1Dutch irish,NA,0.013421948,0.54811416
pk_germchristian democrat,NA,2.46E-16,0.54811416
